Fecha,Canal,Categoria,Comentario
2025-08-07,Web,Entrega,Recibi el paquete hoy; todavia no lo pruebo. Soy de Puerto Plata y el proceso fue estandar. Vere el desempeno durante la semana.
2025-08-07,Tienda fisica,Producto,El producto vino defectuoso y el cambio ha sido muy lento. Esperaba algo mejor. Realice el reclamo por correo y nadie respondio.
2025-08-07,WhatsApp,Atencion,Me rechazaron el cupon en caja sin explicacion. Realice el reclamo por correo y nadie respondio.
2025-08-08,Instagram,Atencion,Recibi el paquete hoy; todavia no lo pruebo.
2025-08-08,WhatsApp,Atencion,"La calidad del producto supero mis expectativas, se nota el cuidado."
2025-08-08,App,Entrega,Me llamaron para confirmar detalles y evitar errores; se agradece. Recomendado. Hice el pedido desde La Romana y todo salio excelente.
2025-08-08,Instagram,Atencion,La app es intuitiva y pude completar la compra sin problemas.
2025-08-08,Web,Entrega,Pude rastrear el pedido en todo momento; transparencia total. Hice el pedido desde Bavaro y todo salio muy bien.
2025-08-09,WhatsApp,Producto,La app se cierra al pagar y perdi el carrito varias veces. Realice el reclamo por Instagram y nadie respondio.
2025-08-09,Web,Atencion,El producto cumple con lo basico segun la descripcion. Soy de San Cristobal y el proceso fue estandar.
2025-08-09,Instagram,Atencion,La app funciona; podria ser mas rapida en algunos pasos.
2025-08-09,Instagram,Servicio,La atencion fue fria y tardaron en darme respuesta. Necesito solucion urgente.
2025-08-10,Web,Producto,"Excelente relacion calidad-precio, definitivamente volveria a comprar. Hice el pedido desde Puerto Plata y todo salio perfecto."
2025-08-10,WhatsApp,Atencion,Me llamaron para confirmar detalles y evitar errores; se agradece.
2025-08-10,Web,Producto,Muy buena experiencia en la tienda fisica; rapidos y cordiales.
2025-08-10,App,Servicio,El empaque vino impecable y se agradece el detalle de la nota. Recomendado.
2025-08-10,Web,Producto,Hice la compra por la web sin inconvenientes notables.
2025-08-10,WhatsApp,Producto,Cambie la direccion y el sistema lo acepto correctamente.
2025-08-10,Instagram,Producto,La app se cierra al pagar y perdi el carrito varias veces. No volvere a comprar.
2025-08-11,WhatsApp,Entrega,La atencion fue fria y tardaron en darme respuesta.
2025-08-11,Tienda fisica,Producto,La descripcion no coincide con lo que recibi; me siento enganado.
2025-08-11,Tienda fisica,Servicio,El precio esta dentro de lo razonable para el mercado. Soy de Bavaro y el proceso fue estandar.
2025-08-11,WhatsApp,Servicio,Pude rastrear el pedido en todo momento; transparencia total.
2025-08-11,App,Producto,Recibi el paquete hoy; todavia no lo pruebo. Soy de San Cristobal y el proceso fue estandar.
2025-08-11,Instagram,Servicio,La app es intuitiva y pude completar la compra sin problemas.
2025-08-11,App,Entrega,"El empaque es sencillo, pero suficiente para proteger. Soy de Santiago y el proceso fue estandar."
2025-08-11,Instagram,Entrega,No respetaron la fecha de entrega y no avisaron a tiempo. Realice el reclamo por correo y nadie respondio.
2025-08-11,Instagram,Producto,La app es intuitiva y pude completar la compra sin problemas.
2025-08-12,Tienda fisica,Servicio,"El chat me dejo en espera mas de 30 minutos, pesima experiencia. Muy decepcionado."
2025-08-12,Web,Atencion,Me llamaron para confirmar detalles y evitar errores; se agradece. Gracias por el buen servicio.
2025-08-13,WhatsApp,Producto,Me atendieron super rapido y resolvieron todo en la primera llamada.
2025-08-13,Web,Atencion,No respetaron la fecha de entrega y no avisaron a tiempo. Muy decepcionado. Realice el reclamo por correo y nadie respondio.
2025-08-13,Instagram,Atencion,No respetaron la fecha de entrega y no avisaron a tiempo.
2025-08-13,WhatsApp,Entrega,Respondieron por WhatsApp en minutos; servicio al cliente de primera. Volvere pronto.
2025-08-13,WhatsApp,Entrega,Me llamaron para confirmar la orden; todo en orden. Vere el desempeno durante la semana.
2025-08-13,Tienda fisica,Servicio,El precio esta dentro de lo razonable para el mercado. Soy de Santiago y el proceso fue estandar. Vere el desempeno durante la semana.
2025-08-13,Web,Producto,El empaque llego golpeado y la caja estaba abierta. No volvere a comprar. Realice el reclamo por Instagram y nadie respondio.
2025-08-13,Web,Servicio,El manual es confuso y no encontre soporte tecnico util.
2025-08-14,Tienda fisica,Atencion,Me rechazaron el cupon en caja sin explicacion. Realice el reclamo por correo y nadie respondio.
2025-08-15,Instagram,Entrega,Respondieron por WhatsApp en minutos; servicio al cliente de primera. Recomendado. Hice el pedido desde Bavaro y todo salio excelente.
2025-08-15,Tienda fisica,Atencion,La posventa es inexistente; nadie se hace responsable. Realice el reclamo por telefono y nadie respondio.
2025-08-15,WhatsApp,Producto,La app se cierra al pagar y perdi el carrito varias veces. Esperaba algo mejor.
2025-08-15,Web,Entrega,El empaque vino impecable y se agradece el detalle de la nota. Recomendado.
2025-08-15,Tienda fisica,Producto,El producto vino defectuoso y el cambio ha sido muy lento. No volvere a comprar. Realice el reclamo por correo y nadie respondio.
2025-08-16,App,Entrega,La posventa es inexistente; nadie se hace responsable.
2025-08-16,Instagram,Servicio,En la tienda fisica me pasaron de un empleado a otro sin resolver. Realice el reclamo en la tienda y nadie respondio.
2025-08-16,Instagram,Producto,El producto cumple con lo basico segun la descripcion.
2025-08-17,App,Producto,La descripcion no coincide con lo que recibi; me siento enganado. Esperaba algo mejor. Realice el reclamo en la tienda y nadie respondio.
2025-08-17,WhatsApp,Entrega,Muy buena experiencia en la tienda fisica; rapidos y cordiales. Volvere pronto.
2025-08-17,App,Atencion,La app se cierra al pagar y perdi el carrito varias veces.
2025-08-17,Web,Servicio,El empaque vino impecable y se agradece el detalle de la nota.
2025-08-17,WhatsApp,Servicio,Cambie la direccion y el sistema lo acepto correctamente.
2025-08-17,WhatsApp,Servicio,La app es intuitiva y pude completar la compra sin problemas.
2025-08-17,Web,Atencion,Me ofrecieron una solucion inmediata y quede satisfecho. Se ganaron un cliente fiel. Hice el pedido desde La Romana y todo salio excelente.
2025-08-18,Web,Producto,Me ofrecieron una solucion inmediata y quede satisfecho. Se ganaron un cliente fiel.
2025-08-18,App,Servicio,Me llamaron para confirmar la orden; todo en orden. Vere el desempeno durante la semana.
2025-08-18,Tienda fisica,Servicio,Me atendieron super rapido y resolvieron todo en la primera llamada.
2025-08-19,Web,Servicio,El pedido llego tarde y nadie contestaba mis mensajes. Muy decepcionado.
2025-08-19,Web,Producto,El producto vino defectuoso y el cambio ha sido muy lento.
2025-08-19,Tienda fisica,Entrega,Hice la compra por la web sin inconvenientes notables. Vere el desempeno durante la semana.
2025-08-19,App,Atencion,Cancelaron el pedido sin mi autorizacion ni alternativas. Esperaba algo mejor. Realice el reclamo por WhatsApp y nadie respondio.
2025-08-19,Instagram,Servicio,Cancelaron el pedido sin mi autorizacion ni alternativas.
2025-08-19,Web,Producto,Los precios son altos para la calidad que ofrecen.
2025-08-19,Web,Atencion,No pude rastrear el pedido; el enlace nunca funciono. Realice el reclamo por WhatsApp y nadie respondio.
2025-08-19,Instagram,Entrega,El pedido llego tarde y nadie contestaba mis mensajes. No volvere a comprar.
2025-08-20,Web,Producto,La app es intuitiva y pude completar la compra sin problemas.
2025-08-20,App,Atencion,Me llamaron para confirmar detalles y evitar errores; se agradece. Se ganaron un cliente fiel.
2025-08-20,Tienda fisica,Entrega,El pedido llego tarde y nadie contestaba mis mensajes. Esperaba algo mejor.
2025-08-20,Instagram,Producto,El pedido llego tarde y nadie contestaba mis mensajes. Esperaba algo mejor.
2025-08-21,Tienda fisica,Atencion,El producto vino defectuoso y el cambio ha sido muy lento.
2025-08-21,Web,Atencion,"El tiempo de entrega fue el esperado, nada fuera de lo normal."
2025-08-21,WhatsApp,Servicio,El personal fue amable y paciente; me guiaron paso a paso.
2025-08-21,Tienda fisica,Servicio,Muy buena experiencia en la tienda fisica; rapidos y cordiales. Volvere pronto.
2025-08-21,Web,Servicio,Cambie la direccion y el sistema lo acepto correctamente.
2025-08-22,Tienda fisica,Atencion,La app se cierra al pagar y perdi el carrito varias veces. Realice el reclamo por correo y nadie respondio.
2025-08-22,Instagram,Producto,"El chat me dejo en espera mas de 30 minutos, pesima experiencia."
2025-08-22,Web,Servicio,"La calidad del producto supero mis expectativas, se nota el cuidado."
2025-08-23,Tienda fisica,Producto,Me atendieron super rapido y resolvieron todo en la primera llamada. Gracias por el buen servicio.
2025-08-23,Instagram,Atencion,El manual es claro y todo funciono a la primera.
2025-08-24,Web,Atencion,Cancelaron el pedido sin mi autorizacion ni alternativas. No volvere a comprar.
2025-08-24,Tienda fisica,Atencion,No respetaron la fecha de entrega y no avisaron a tiempo. Esperaba algo mejor. Realice el reclamo por WhatsApp y nadie respondio.
2025-08-24,Instagram,Servicio,La app es intuitiva y pude completar la compra sin problemas. Recomendado.
2025-08-24,Instagram,Producto,Respondieron por WhatsApp en minutos; servicio al cliente de primera. Hice el pedido desde Puerto Plata y todo salio perfecto.
2025-08-24,Tienda fisica,Producto,El manual es claro y todo funciono a la primera. Hice el pedido desde Puerto Plata y todo salio excelente.
2025-08-25,Instagram,Entrega,Me ofrecieron una solucion inmediata y quede satisfecho. Hice el pedido desde Bavaro y todo salio excelente.
2025-08-25,WhatsApp,Atencion,La app es intuitiva y pude completar la compra sin problemas. Se ganaron un cliente fiel.
2025-08-25,WhatsApp,Atencion,La app se cierra al pagar y perdi el carrito varias veces. Realice el reclamo por correo y nadie respondio.
2025-08-25,Tienda fisica,Servicio,La app se cierra al pagar y perdi el carrito varias veces.
2025-08-25,Instagram,Atencion,El pedido llego tarde y nadie contestaba mis mensajes.
2025-08-26,WhatsApp,Atencion,"El empaque es sencillo, pero suficiente para proteger. Soy de Puerto Plata y el proceso fue estandar."
2025-08-26,Tienda fisica,Atencion,Me rechazaron el cupon en caja sin explicacion. Necesito solucion urgente.
2025-08-26,App,Entrega,El empaque vino impecable y se agradece el detalle de la nota.
2025-08-26,Instagram,Entrega,"El chat me dejo en espera mas de 30 minutos, pesima experiencia. No volvere a comprar."
2025-08-26,Tienda fisica,Servicio,El precio esta dentro de lo razonable para el mercado.
2025-08-26,App,Atencion,"El empaque es sencillo, pero suficiente para proteger. Soy de Santiago y el proceso fue estandar. Vere el desempeno durante la semana."
2025-08-26,Tienda fisica,Producto,Respondieron por WhatsApp en minutos; servicio al cliente de primera.
2025-08-26,Instagram,Atencion,"La calidad del producto supero mis expectativas, se nota el cuidado. Se ganaron un cliente fiel."
2025-08-27,App,Servicio,Cancelaron el pedido sin mi autorizacion ni alternativas.
2025-08-27,Tienda fisica,Servicio,El producto coincide exactamente con la descripcion y fotos del sitio. Volvere pronto.
2025-08-27,Instagram,Entrega,El pedido llego tarde y nadie contestaba mis mensajes. Necesito solucion urgente.
2025-08-27,App,Atencion,"La calidad del producto supero mis expectativas, se nota el cuidado."
2025-08-27,App,Servicio,Me ofrecieron una solucion inmediata y quede satisfecho. Gracias por el buen servicio.
2025-08-28,App,Atencion,No respetaron la fecha de entrega y no avisaron a tiempo. Realice el reclamo por Instagram y nadie respondio.
2025-08-28,Instagram,Atencion,"Excelente relacion calidad-precio, definitivamente volveria a comprar."
2025-08-28,WhatsApp,Atencion,El personal fue amable y paciente; me guiaron paso a paso. Recomendado.
2025-08-28,App,Servicio,El producto vino defectuoso y el cambio ha sido muy lento.
2025-08-28,Web,Producto,"El empaque es sencillo, pero suficiente para proteger."
2025-08-28,Web,Atencion,Me ofrecieron una solucion inmediata y quede satisfecho. Recomendado. Hice el pedido desde Puerto Plata y todo salio muy bien.
2025-08-28,App,Servicio,Los cupones y promociones si funcionan; ahorre bastante. Volvere pronto. Hice el pedido desde La Romana y todo salio perfecto.
2025-08-29,Web,Entrega,Me atendieron super rapido y resolvieron todo en la primera llamada. Recomendado.
2025-08-29,App,Entrega,Me atendieron super rapido y resolvieron todo en la primera llamada.
2025-08-29,Web,Entrega,Los cupones y promociones si funcionan; ahorre bastante.
2025-08-29,Tienda fisica,Producto,Pude rastrear el pedido en todo momento; transparencia total.
2025-08-29,Tienda fisica,Servicio,"La atencion fue correcta, sin destacar demasiado."
2025-08-29,Web,Servicio,"Excelente relacion calidad-precio, definitivamente volveria a comprar. Gracias por el buen servicio."
2025-08-29,WhatsApp,Servicio,Me atendieron super rapido y resolvieron todo en la primera llamada.
2025-08-30,App,Entrega,Me llamaron para confirmar detalles y evitar errores; se agradece. Hice el pedido desde San Cristobal y todo salio perfecto.
2025-08-30,Web,Producto,En la tienda fisica me pasaron de un empleado a otro sin resolver. No volvere a comprar. Realice el reclamo por Instagram y nadie respondio.
2025-08-30,App,Servicio,Me atendieron super rapido y resolvieron todo en la primera llamada.
2025-08-30,Web,Entrega,No respetaron la fecha de entrega y no avisaron a tiempo. Realice el reclamo por WhatsApp y nadie respondio.
2025-08-30,Instagram,Atencion,"La calidad del producto supero mis expectativas, se nota el cuidado. Hice el pedido desde Puerto Plata y todo salio excelente."
2025-08-30,Tienda fisica,Entrega,Pude rastrear el pedido en todo momento; transparencia total.
2025-08-30,WhatsApp,Entrega,Respondieron por WhatsApp en minutos; servicio al cliente de primera.
2025-08-31,WhatsApp,Servicio,En la tienda fisica me pasaron de un empleado a otro sin resolver. No volvere a comprar.
2025-08-31,Web,Atencion,"El empaque es sencillo, pero suficiente para proteger."
2025-08-31,Tienda fisica,Entrega,No pude rastrear el pedido; el enlace nunca funciono. Realice el reclamo por WhatsApp y nadie respondio.
2025-08-31,Tienda fisica,Producto,Respondieron por WhatsApp en minutos; servicio al cliente de primera.
2025-08-31,App,Servicio,La atencion fue fria y tardaron en darme respuesta. No volvere a comprar.
2025-08-31,WhatsApp,Producto,El producto vino defectuoso y el cambio ha sido muy lento.
2025-09-01,Tienda fisica,Atencion,Pude rastrear el pedido en todo momento; transparencia total.
2025-09-01,WhatsApp,Entrega,Me llamaron para confirmar la orden; todo en orden. Vere el desempeno durante la semana.
2025-09-01,WhatsApp,Entrega,El pedido llego tarde y nadie contestaba mis mensajes.
2025-09-01,Tienda fisica,Producto,La app es intuitiva y pude completar la compra sin problemas.
2025-09-02,Tienda fisica,Servicio,En la tienda fisica me pasaron de un empleado a otro sin resolver.
2025-09-02,App,Servicio,La posventa es inexistente; nadie se hace responsable. Realice el reclamo por telefono y nadie respondio.
2025-09-02,App,Atencion,La app funciona; podria ser mas rapida en algunos pasos. Vere el desempeno durante la semana.
2025-09-02,Instagram,Atencion,La entrega llego antes de la fecha estimada y en perfecto estado.
2025-09-02,WhatsApp,Atencion,Pude rastrear el pedido en todo momento; transparencia total.
2025-09-02,Tienda fisica,Atencion,Pude rastrear el pedido en todo momento; transparencia total.
2025-09-02,WhatsApp,Entrega,El personal fue amable y paciente; me guiaron paso a paso. Recomendado.
2025-09-02,Instagram,Servicio,El pedido llego tarde y nadie contestaba mis mensajes.
2025-09-02,Instagram,Atencion,No respetaron la fecha de entrega y no avisaron a tiempo. Realice el reclamo por telefono y nadie respondio.
2025-09-02,WhatsApp,Servicio,Me atendieron super rapido y resolvieron todo en la primera llamada.
2025-09-03,App,Servicio,"Excelente relacion calidad-precio, definitivamente volveria a comprar. Hice el pedido desde Santo Domingo y todo salio excelente."
2025-09-03,WhatsApp,Atencion,"El chat me dejo en espera mas de 30 minutos, pesima experiencia. Necesito solucion urgente."
2025-09-03,Instagram,Atencion,El producto cumple con lo basico segun la descripcion. Soy de La Romana y el proceso fue estandar.
2025-09-03,Tienda fisica,Atencion,No pude rastrear el pedido; el enlace nunca funciono. Muy decepcionado.
2025-09-04,Tienda fisica,Entrega,La app se cierra al pagar y perdi el carrito varias veces.
2025-09-04,WhatsApp,Entrega,Respondieron por WhatsApp en minutos; servicio al cliente de primera.
2025-09-04,Web,Servicio,El empaque vino impecable y se agradece el detalle de la nota. Hice el pedido desde San Cristobal y todo salio excelente.
2025-09-04,Tienda fisica,Entrega,"El tiempo de entrega fue el esperado, nada fuera de lo normal."
2025-09-05,Tienda fisica,Atencion,"El empaque es sencillo, pero suficiente para proteger. Soy de Puerto Plata y el proceso fue estandar. Vere el desempeno durante la semana."
2025-09-05,WhatsApp,Servicio,El pedido llego tarde y nadie contestaba mis mensajes.
2025-09-05,App,Producto,La app es intuitiva y pude completar la compra sin problemas.
2025-09-05,Tienda fisica,Servicio,Me llamaron para confirmar detalles y evitar errores; se agradece.
2025-09-05,Instagram,Entrega,"La atencion fue correcta, sin destacar demasiado."
2025-09-05,Instagram,Entrega,La entrega llego antes de la fecha estimada y en perfecto estado. Se ganaron un cliente fiel.
2025-09-05,Tienda fisica,Atencion,"El empaque es sencillo, pero suficiente para proteger."
2025-09-05,App,Entrega,Hice la compra por la web sin inconvenientes notables. Soy de Santo Domingo y el proceso fue estandar.
2025-09-06,Tienda fisica,Servicio,No respetaron la fecha de entrega y no avisaron a tiempo. Realice el reclamo por correo y nadie respondio.
2025-09-06,Web,Producto,El producto coincide exactamente con la descripcion y fotos del sitio.
2025-09-07,Instagram,Producto,La entrega llego antes de la fecha estimada y en perfecto estado.
2025-09-07,Web,Producto,Hice la compra por la web sin inconvenientes notables.
2025-09-07,Instagram,Entrega,Me llamaron para confirmar detalles y evitar errores; se agradece.
2025-09-08,App,Entrega,Pude rastrear el pedido en todo momento; transparencia total.
2025-09-08,Instagram,Entrega,Me llamaron para confirmar detalles y evitar errores; se agradece. Volvere pronto.
2025-09-08,Web,Entrega,Pude rastrear el pedido en todo momento; transparencia total.
2025-09-08,WhatsApp,Atencion,"La calidad del producto supero mis expectativas, se nota el cuidado. Gracias por el buen servicio."
2025-09-08,App,Entrega,Muy buena experiencia en la tienda fisica; rapidos y cordiales. Hice el pedido desde Santo Domingo y todo salio excelente.
2025-09-08,WhatsApp,Entrega,Muy buena experiencia en la tienda fisica; rapidos y cordiales.
2025-09-08,Instagram,Servicio,La app funciona; podria ser mas rapida en algunos pasos.
2025-09-09,Tienda fisica,Producto,La app funciona; podria ser mas rapida en algunos pasos. Soy de La Romana y el proceso fue estandar.
2025-09-09,Tienda fisica,Atencion,Me ofrecieron una solucion inmediata y quede satisfecho.
2025-09-09,Instagram,Atencion,El manual es confuso y no encontre soporte tecnico util.
2025-09-09,App,Atencion,Hice la compra por la web sin inconvenientes notables.
2025-09-09,Web,Producto,Muy buena experiencia en la tienda fisica; rapidos y cordiales. Hice el pedido desde Santiago y todo salio muy bien.
2025-09-10,Instagram,Producto,"El chat me dejo en espera mas de 30 minutos, pesima experiencia. Muy decepcionado."
2025-09-10,WhatsApp,Atencion,Me llamaron para confirmar detalles y evitar errores; se agradece. Hice el pedido desde Santo Domingo y todo salio excelente.
2025-09-10,Instagram,Servicio,En la tienda fisica me pasaron de un empleado a otro sin resolver. Necesito solucion urgente. Realice el reclamo en la tienda y nadie respondio.
2025-09-11,Tienda fisica,Entrega,No respetaron la fecha de entrega y no avisaron a tiempo.
2025-09-11,WhatsApp,Producto,Muy buena experiencia en la tienda fisica; rapidos y cordiales. Gracias por el buen servicio. Hice el pedido desde Puerto Plata y todo salio excelente.
2025-09-11,Tienda fisica,Servicio,El producto coincide exactamente con la descripcion y fotos del sitio.
2025-09-11,Tienda fisica,Servicio,No pude rastrear el pedido; el enlace nunca funciono. Realice el reclamo por Instagram y nadie respondio.
2025-09-11,Instagram,Servicio,El empaque llego golpeado y la caja estaba abierta. Realice el reclamo por telefono y nadie respondio.
2025-09-11,Instagram,Entrega,La app se cierra al pagar y perdi el carrito varias veces.
2025-09-12,WhatsApp,Entrega,Pude rastrear el pedido en todo momento; transparencia total. Recomendado. Hice el pedido desde Santo Domingo y todo salio perfecto.
2025-09-12,Instagram,Servicio,El precio esta dentro de lo razonable para el mercado.
2025-09-12,Tienda fisica,Atencion,La entrega llego antes de la fecha estimada y en perfecto estado. Hice el pedido desde Santo Domingo y todo salio perfecto.
2025-09-12,Instagram,Producto,En la tienda fisica me pasaron de un empleado a otro sin resolver.
2025-09-12,Tienda fisica,Producto,El precio esta dentro de lo razonable para el mercado. Soy de Santo Domingo y el proceso fue estandar.
2025-09-12,Tienda fisica,Entrega,"El empaque es sencillo, pero suficiente para proteger."
2025-09-13,Web,Producto,El personal fue amable y paciente; me guiaron paso a paso. Volvere pronto. Hice el pedido desde Santiago y todo salio muy bien.
2025-09-13,App,Entrega,"El tiempo de entrega fue el esperado, nada fuera de lo normal. Vere el desempeno durante la semana."
2025-09-13,App,Producto,Los cupones y promociones si funcionan; ahorre bastante.
2025-09-13,Tienda fisica,Entrega,"La atencion fue correcta, sin destacar demasiado. Soy de La Romana y el proceso fue estandar."
2025-09-13,Instagram,Atencion,Muy buena experiencia en la tienda fisica; rapidos y cordiales. Hice el pedido desde San Cristobal y todo salio perfecto.
2025-09-13,Web,Servicio,"Excelente relacion calidad-precio, definitivamente volveria a comprar."
2025-09-13,WhatsApp,Servicio,"La atencion fue correcta, sin destacar demasiado."
2025-09-13,App,Atencion,La app se cierra al pagar y perdi el carrito varias veces. Esperaba algo mejor.
2025-09-13,App,Atencion,La posventa es inexistente; nadie se hace responsable.
2025-09-13,Instagram,Atencion,La descripcion no coincide con lo que recibi; me siento enganado.
2025-09-14,Tienda fisica,Entrega,"El tiempo de entrega fue el esperado, nada fuera de lo normal."
2025-09-14,WhatsApp,Entrega,La app se cierra al pagar y perdi el carrito varias veces. Muy decepcionado. Realice el reclamo por Instagram y nadie respondio.
2025-09-14,App,Servicio,Los precios son altos para la calidad que ofrecen.
2025-09-14,Instagram,Entrega,El personal fue amable y paciente; me guiaron paso a paso. Hice el pedido desde Santiago y todo salio excelente.
2025-09-15,Web,Entrega,Respondieron por WhatsApp en minutos; servicio al cliente de primera.
2025-09-15,App,Producto,Los cupones y promociones si funcionan; ahorre bastante.
2025-09-15,Instagram,Producto,La posventa es inexistente; nadie se hace responsable. Realice el reclamo por telefono y nadie respondio.
2025-09-16,Web,Servicio,El producto coincide exactamente con la descripcion y fotos del sitio.
2025-09-16,App,Entrega,La posventa es inexistente; nadie se hace responsable. No volvere a comprar.
2025-09-16,Instagram,Producto,Hice la compra por la web sin inconvenientes notables.
2025-09-16,Instagram,Entrega,El empaque llego golpeado y la caja estaba abierta.
2025-09-16,Instagram,Entrega,Cancelaron el pedido sin mi autorizacion ni alternativas.
2025-09-16,Web,Producto,El pedido llego tarde y nadie contestaba mis mensajes.
2025-09-17,App,Producto,El producto vino defectuoso y el cambio ha sido muy lento. Realice el reclamo por telefono y nadie respondio.
2025-09-17,Web,Entrega,El producto coincide exactamente con la descripcion y fotos del sitio.
2025-09-17,WhatsApp,Atencion,"La calidad del producto supero mis expectativas, se nota el cuidado. Se ganaron un cliente fiel. Hice el pedido desde Bavaro y todo salio perfecto."
2025-09-17,Web,Producto,Cancelaron el pedido sin mi autorizacion ni alternativas.
2025-09-17,Tienda fisica,Entrega,Me llamaron para confirmar detalles y evitar errores; se agradece.
2025-09-17,Web,Atencion,Recibi el paquete hoy; todavia no lo pruebo. Soy de San Cristobal y el proceso fue estandar.
2025-09-17,Web,Atencion,El producto vino defectuoso y el cambio ha sido muy lento. Realice el reclamo por WhatsApp y nadie respondio.
